Date;Players;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
12-10-2018;665260;5032622,5000;0;0,0000;0;210510,9000;0;35021,7000;10;1965,7000;72;147,3000;230;66,9000;187;52,2000;3108;12,6000;3368;12,7000;7364;11,2000;15325;6,8000;46163;7,1000;96920;4,2000
09-10-2018;455430;3202670,0000;0;0,0000;0;378735,4000;0;58807,8000;3;5393,3000;37;198,8000;61;144,8000;83;68,1000;995;24,2000;1639;16,5000;4042;13,1000;5337;12,4000;24225;8,7000;58517;4,5000
05-10-2018;680005;5198777,5000;1;17000000,0000;1;156384,6000;1;23178,7000;7;3897,2000;77;135,7000;138;116,9000;173;42,4000;1728;22,8000;2990;13,5000;7139;10,5000;8843;12,1000;39924;8,2000;94840;4,2000
02-10-2018;843095;7562672,5000;0;162403002,0000;2;90587,7000;4;11956,0000;4;2618,5000;183;104,7000;237;95,4000;467;37,7000;2894;19,9000;5731;11,9000;13249;10,0000;14304;11,2000;65712;7,6000;150405;4,2000
28-09-2018;1045320;9421385,0000;0;0,0000;1;368793,1000;1;71580,1000;7;2838,8000;162;131,8000;347;86,1000;256;54,7000;5139;15,6000;6441;12,0000;12414;11,4000;25777;8,7000;88647;7,1000;173025;4,3000
25-09-2018;762678;6713915,0000;0;0,0000;0;678240,5000;3;35104,4000;1;2809,7000;77;153,4000;221;79,4000;160;59,0000;3044;15,4000;4067;13,0000;8349;11,8000;16518;8,3000;55750;7,5000;116946;4,4000
21-09-2018;1286916;12047952,5000;0;0,0000;0;297831,3000;2;23122,7000;10;2101,8000;204;119,1000;376;97,1000;463;44,8000;5022;18,7000;8550;11,2000;17556;10,2000;24234;10,8000;116484;6,7000;241144;4,0000
18-09-2018;469215;3355005,0000;0;0,0000;0;204869,9000;1;95433,1000;0;5186,5000;41;187,8000;83;145,3000;75;60,6000;1117;27,6000;1576;16,8000;4310;11,2000;6040;14,7000;24400;9,0000;64905;4,0000
14-09-2018;726950;5601912,5000;0;0,0000;0;1067133,3000;1;22595,2000;1;4192,1000;55;203,2000;119;130,5000;114;75,8000;1909;21,9000;2839;15,4000;5537;14,7000;10644;11,1000;45774;7,9000;89555;4,8000
11-09-2018;429438;3024192,5000;0;0,0000;0;185498,0000;1;43204,6000;0;4448,9000;42;165,4000;76;128,0000;95;64,4000;1028;22,4000;1878;14,3000;3571;13,6000;5739;11,4000;25927;7,9000;51865;4,8000
07-09-2018;607092;4583812,5000;0;0,0000;0;248009,9000;0;25673,0000;1;3645,7000;73;151,0000;111;101,9000;135;55,6000;1859;19,0000;2945;11,9000;6553;11,1000;9405;10,4000;38995;7,6000;87987;4,1000
04-09-2018;456072;3274457,5000;0;45447459,0000;0;814822,1000;0;21086,8000;4;3315,2000;42;172,2000;108;123,1000;82;53,0000;1238;22,5000;1839;14,8000;4115;11,5000;6565;12,1000;25592;8,4000;61112;4,1000
31-08-2018;620357;4739952,5000;0;0,0000;2;262978,4000;2;7000,0000;5;3744,9000;45;234,5000;158;101,7000;85;82,4000;2229;16,8000;2452;16,5000;5040;14,6000;12190;8,5000;37752;8,5000;78740;4,8000
