LOTTO GAME	COMBINATIONS	DRAW DATE	JACKPOT	WINNERS
Superlotto 6/49	15-12-39-47-32-11	9/22/2016	51,498,072.00	0
6Digit	9-6-2-6-2-2	9/22/2016	522,759.34	0
Suertres Lotto 11AM	6-2-9	9/22/2016	4,500.00	938
Suertres Lotto 4PM	2-6-6	9/22/2016	4,500.00	974
Suertres Lotto 9PM	2-3-7	9/22/2016	4,500.00	1182
EZ2 Lotto 9PM	14-21	9/22/2016	4,000.00	678
Lotto 6/42	40-31-18-15-14-41	9/22/2016	6,000,000.00	0
EZ2 Lotto 11AM	02-01	9/22/2016	4,000.00	291
EZ2 Lotto 4PM	26-14	9/22/2016	4,000.00	77
Megalotto 6/45	40-31-25-35-33-19	9/21/2016	20,209,216.00	0
4Digit	2-1-3-7	9/21/2016	19,365.00	48
Suertres Lotto 11AM	3-4-2	9/21/2016	4,500.00	301
Suertres Lotto 4PM	6-7-8	9/21/2016	4,500.00	203
Suertres Lotto 9PM	0-7-2	9/21/2016	4,500.00	337
EZ2 Lotto 9PM	26-15	9/21/2016	4,000.00	230
EZ2 Lotto 11AM	31-20	9/21/2016	4,000.00	87
EZ2 Lotto 4PM	12-28	9/21/2016	4,000.00	255
Grand Lotto 6/55	42-19-45-03-41-49	9/21/2016	30,000,000.00	0
Superlotto 6/49	13-08-07-46-31-43	9/20/2016	47,546,144.00	0
6Digit	4-4-0-6-9-4	9/20/2016	381,736.28	0
Suertres Lotto 11AM	8-3-4	9/20/2016	4,500.00	715
Suertres Lotto 4PM	8-3-9	9/20/2016	4,500.00	296
Suertres Lotto 9PM	4-7-1	9/20/2016	4,500.00	998
EZ2 Lotto 9PM	29-28	9/20/2016	4,000.00	227
Lotto 6/42	14-15-36-10-05-04	9/20/2016	6,000,000.00	0
EZ2 Lotto 11AM	15-29	9/20/2016	4,000.00	144
EZ2 Lotto 4PM	26-12	9/20/2016	4,000.00	229
Megalotto 6/45	10-03-22-27-41-30	9/19/2016	17,056,020.00	0
4Digit	6-0-9-2	9/19/2016	53,359.00	17
Suertres Lotto 11AM	7-9-3	9/19/2016	4,500.00	719
Suertres Lotto 4PM	8-9-7	9/19/2016	4,500.00	681
Suertres Lotto 9PM	1-8-0	9/19/2016	4,500.00	819
EZ2 Lotto 9PM	07-02	9/19/2016	4,000.00	619
EZ2 Lotto 11AM	18-14	9/19/2016	4,000.00	152
EZ2 Lotto 4PM	25-21	9/19/2016	4,000.00	60
Grand Lotto 6/55	47-31-43-39-23-26	9/19/2016	30,000,000.00	0
Superlotto 6/49	22-06-37-05-23-45	9/18/2016	43,864,256.00	0
Suertres Lotto 11AM	3-9-8	9/18/2016	4,500.00	267
Suertres Lotto 4PM	5-8-2	9/18/2016	4,500.00	495
Suertres Lotto 9PM	4-3-2	9/18/2016	4,500.00	770
EZ2 Lotto 9PM	22-15	9/18/2016	4,000.00	304
EZ2 Lotto 11AM	25-01	9/18/2016	4,000.00	158
EZ2 Lotto 4PM	05-08	9/18/2016	4,000.00	234
Ultra Lotto 6/58	13-51-12-02-06-36	9/18/2016	50,000,000.00	0
6Digit	0-3-1-6-6-1	9/17/2016	150,000.00	0
Suertres Lotto 11AM	5-2-1	9/17/2016	4,500.00	647
Suertres Lotto 4PM	1-6-7	9/17/2016	4,500.00	625
Suertres Lotto 9PM	5-1-8	9/17/2016	4,500.00	775
EZ2 Lotto 9PM	27-09	9/17/2016	4,000.00	614
Lotto 6/42	10-31-32-19-25-14	9/17/2016	31,272,756.00	1
EZ2 Lotto 11AM	27-02	9/17/2016	4,000.00	88
EZ2 Lotto 4PM	22-30	9/17/2016	4,000.00	179
Grand Lotto 6/55	24-53-33-17-51-22	9/17/2016	30,000,000.00	0
Megalotto 6/45	25-24-06-13-14-05	9/16/2016	14,024,572.00	0
4Digit	7-2-3-8	9/16/2016	42,867.00	21
Suertres Lotto 11AM	5-1-8	9/16/2016	4,500.00	1118
Suertres Lotto 4PM	0-0-2	9/16/2016	4,500.00	218
Suertres Lotto 9PM	3-7-1	9/16/2016	4,500.00	798
EZ2 Lotto 9PM	24-26	9/16/2016	4,000.00	296
EZ2 Lotto 11AM	13-13	9/16/2016	4,000.00	291
EZ2 Lotto 4PM	03-01	9/16/2016	4,000.00	234
Ultra Lotto 6/58	23-41-13-46-43-58	9/16/2016	50,000,000.00	0
Superlotto 6/49	31-21-02-25-15-19	9/15/2016	40,112,948.00	0
6Digit	2-6-5-4-6-2	9/15/2016	4,888,088.00	1
Suertres Lotto 11AM	8-0-9	9/15/2016	4,500.00	596
Suertres Lotto 4PM	1-7-0	9/15/2016	4,500.00	339
Suertres Lotto 9PM	7-4-0	9/15/2016	4,500.00	874
EZ2 Lotto 9PM	24-09	9/15/2016	4,000.00	684
Lotto 6/42	33-07-38-02-42-18	9/15/2016	27,711,864.00	0
EZ2 Lotto 11AM	03-20	9/15/2016	4,000.00	216
