Draw Date	#1	#2	#3	#4	#5	#PB
January 01, 2000	9	13	23	36	45	39
January 05, 2000	5	15	16	28	32	39
January 08, 2000	7	28	35	40	48	14
January 12, 2000	9	32	38	41	44	27
January 15, 2000	1	6	21	33	40	28
January 19, 2000	12	31	35	37	44	34
January 22, 2000	4	16	32	34	41	25
January 26, 2000	18	25	30	43	46	18
January 29, 2000	6	8	28	32	47	26
February 02, 2000	6	10	12	16	29	33
February 05, 2000	6	11	34	41	44	20
February 09, 2000	5	29	36	40	49	30
February 12, 2000	21	24	37	44	45	24
February 16, 2000	9	10	12	31	41	37
February 19, 2000	14	23	24	45	48	21
February 23, 2000	12	16	20	26	32	35
February 26, 2000	7	9	23	37	49	7
March 01, 2000	21	22	29	30	38	39
March 04, 2000	3	6	8	43	48	1
March 08, 2000	11	14	17	25	36	38
March 11, 2000	2	11	23	28	31	39
March 15, 2000	14	15	19	38	44	20
March 18, 2000	12	30	39	43	46	10
March 22, 2000	3	12	30	41	46	32
March 25, 2000	6	30	43	45	48	32
March 29, 2000	12	32	37	40	49	37
April 01, 2000	3	4	13	29	38	21
April 05, 2000	6	8	11	18	39	40
April 08, 2000	4	9	12	33	48	18
April 12, 2000	4	6	20	25	31	6
April 15, 2000	15	26	28	40	48	9
April 19, 2000	3	8	9	20	49	22
April 22, 2000	3	5	9	42	48	35
April 26, 2000	5	10	17	24	37	15
April 29, 2000	12	14	26	35	36	37
May 03, 2000	5	13	34	41	48	7
May 06, 2000	4	27	29	39	41	16
May 10, 2000	8	18	20	31	47	11
May 13, 2000	1	3	27	38	42	24
May 17, 2000	16	17	20	28	49	34
May 20, 2000	5	17	40	44	48	26
May 24, 2000	7	19	43	46	47	4
May 27, 2000	2	22	29	30	44	36
May 31, 2000	15	16	22	42	43	11
June 03, 2000	13	14	15	31	37	10
June 07, 2000	19	39	45	46	49	17
June 10, 2000	2	16	32	40	47	15
June 14, 2000	21	23	32	34	42	5
June 17, 2000	6	15	25	44	47	7
June 21, 2000	1	24	27	28	43	25
June 24, 2000	2	13	26	27	49	4
June 28, 2000	13	24	27	30	45	18
July 01, 2000	13	14	22	32	42	26
July 05, 2000	10	14	18	32	33	2
July 08, 2000	2	7	10	34	39	12
July 12, 2000	6	9	10	26	48	10
July 15, 2000	5	8	21	46	49	34
July 19, 2000	5	8	18	36	38	40
July 22, 2000	2	12	15	33	41	33
July 26, 2000	3	20	22	37	44	36
July 29, 2000	11	24	26	38	41	7
August 02, 2000	12	27	33	42	49	31
August 05, 2000	13	28	32	33	38	14
August 09, 2000	11	17	18	19	28	34
August 12, 2000	6	31	38	46	47	21
August 16, 2000	15	16	27	44	47	14
August 19, 2000	10	13	17	23	36	23
August 23, 2000	20	28	40	43	47	31
August 26, 2000	16	22	27	40	43	5
August 30, 2000	4	25	29	36	46	8
September 02, 2000	5	14	20	22	26	35
September 06, 2000	4	6	12	28	42	6
